Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
0,12/09/21,17:00:36,23.2,23.4,7.61,797,17,0
1,12/09/21,17:01:35,23.2,23.4,7.61,797,17,0
2,12/09/21,17:02:35,23.3,23.4,7.61,797,17,0
3,12/09/21,17:03:35,23.3,23.4,7.61,798,17,0
4,12/09/21,17:04:36,23.3,23.4,7.61,797,17,0
5,12/09/21,17:05:36,23.4,23.3,7.61,797,16,0
6,12/09/21,17:06:36,23.3,23.1,7.61,795,17,0
7,12/09/21,17:07:36,23.3,23,7.61,794,16,0
8,12/09/21,17:08:36,23.3,23,7.61,794,17,0
9,12/09/21,17:09:36,23.4,23.1,7.61,795,17,0
10,12/09/21,17:10:36,23.3,23.2,7.61,797,17,0
11,12/09/21,17:11:36,23.3,23.3,7.61,798,17,0
12,12/09/21,17:12:36,23.3,23.3,7.61,797,17,0
13,12/09/21,17:13:36,23.3,23.3,7.61,798,16,0
14,12/09/21,17:14:36,23.3,23.4,7.61,797,17,0
15,12/09/21,17:15:36,23.4,23.4,7.61,797,17,0
16,12/09/21,17:16:36,23.4,23.4,7.61,797,17,0
17,12/09/21,17:17:36,23.3,23.4,7.61,797,17,0
18,12/09/21,17:18:36,23.3,23.4,7.61,797,17,0
19,12/09/21,17:19:36,23.4,23.3,7.61,797,17,0
20,12/09/21,17:20:36,23.2,23.1,7.61,795,16,0
21,12/09/21,17:21:36,23.3,23,7.61,794,17,0
22,12/09/21,17:22:36,23.4,23,7.61,794,17,0
23,12/09/21,17:23:36,23.3,23.1,7.61,795,17,0
24,12/09/21,17:24:36,23.3,23.2,7.61,797,17,0
25,12/09/21,17:25:36,23.3,23.3,7.61,798,17,0
26,12/09/21,17:26:36,23.4,23.3,7.61,798,17,0
27,12/09/21,17:27:36,23.4,23.3,7.61,797,17,0
28,12/09/21,17:28:36,23.4,23.3,7.61,797,17,0
29,12/09/21,17:29:36,23.3,23.4,7.61,797,17,0
30,12/09/21,17:30:36,23.3,23.4,7.61,797,17,0
31,12/09/21,17:31:36,23.3,23.4,7.61,797,17,0
32,12/09/21,17:32:36,23.3,23.4,7.61,797,17,0
33,12/09/21,17:33:36,23.4,23.4,7.61,797,17,0
34,12/09/21,17:34:36,23.3,23.4,7.61,797,17,0
35,12/09/21,17:35:36,23.3,23.4,7.61,797,17,0
36,12/09/21,17:36:36,23.4,23.3,7.61,797,17,0
37,12/09/21,17:37:37,23.4,23.1,7.61,795,17,0
38,12/09/21,17:38:36,23.3,23,7.61,794,16,0
39,12/09/21,17:39:36,23.5,23,7.61,794,17,0
40,12/09/21,17:40:36,23.5,23.2,7.61,797,17,0
41,12/09/21,17:41:36,23.5,23.2,7.61,798,16,0
42,12/09/21,17:42:36,23.4,23.3,7.61,798,16,0
43,12/09/21,17:43:36,23.5,23.3,7.61,798,17,0
44,12/09/21,17:44:36,23.5,23.4,7.61,799,17,0
45,12/09/21,17:45:36,23.5,23.4,7.61,798,17,0
46,12/09/21,17:46:37,23.5,23.4,7.61,798,17,0
47,12/09/21,17:47:37,23.4,23.4,7.61,797,17,0
48,12/09/21,17:48:37,23.4,23.4,7.61,797,16,0
49,12/09/21,17:49:37,23.4,23.4,7.61,797,17,0
50,12/09/21,17:50:37,23.4,23.3,7.59,797,16,0
51,12/09/21,17:51:37,23.4,23.1,7.61,795,17,0
52,12/09/21,17:52:36,23.4,23,7.61,794,17,0
53,12/09/21,17:53:36,23.4,23,7.61,794,17,0
54,12/09/21,17:54:36,23.4,23.1,7.61,797,16,0
55,12/09/21,17:55:37,23.4,23.2,7.61,798,17,0
56,12/09/21,17:56:37,23.3,23.3,7.61,798,17,0
57,12/09/21,17:57:37,23.3,23.3,7.61,798,17,0
58,12/09/21,17:58:37,23.4,23.3,7.61,798,16,0
59,12/09/21,17:59:37,23.4,23.4,7.61,797,17,0
60,12/09/21,18:00:37,23.4,23.4,7.61,797,17,0
61,12/09/21,18:01:37,23.4,23.4,7.61,797,17,0
62,12/09/21,18:02:37,23.4,23.4,7.61,797,17,0
63,12/09/21,18:03:37,23.1,23.4,7.58,797,17,0
64,12/09/21,18:04:37,22.7,23.4,7.58,797,17,0
65,12/09/21,18:05:37,22.5,23.5,7.59,797,17,0
66,12/09/21,18:06:37,22.4,23.4,7.58,797,17,0
67,12/09/21,18:07:37,22.4,23.2,7.59,794,17,0
